	pano	hyde	erho	dein	venu	pimo	cyse	cose	oran	luli	sege	rihu	dise	reri	sopt	jusp	cybr	rusp	pftu	fare	hysp	bola	scra	sirh	brsu	sysp	plto	soch	ceas	elmo	crtw	anar	axaf	cosp	asmo	mapr	seva	ptsp	lomu	aple	papl	gmsp	cugl	hepu	cyda	paur	bove	papn	cysp	ruob	pahi	ersa	dede	vesp	chse	tigr	arla	drco	gasp	stmo	cyca	trdu	gafa	batr	spar	pasa	evse	elth	scmi	anla	clna	pape	padi	papa	vemo	lisp	badr	oxer	boer	wado	spin
pano	0	0.714286	1	1	1	0.142857	0.285714	0.142857	1	1	0.142857	1	1	1	1	0.285714	0.285714	1	1	1	1	1	1	1	0.142857	0.714286	1	1	1	1	1	1	0.142857	1	1	1	0.142857	1	0.142857	1	0	1	1	0.714286	0.142857	0	1	0	0.714286	1	0.142857	1	1	1	0.142857	1	0.142857	1	1	1	0.285714	1	1	1	1	0.142857	1	0.142857	0.142857	0.142857	1	0	0	0	1	1	1	1	1	1	0.142857
hyde	0.714286	0	1	1	1	0.714286	0.714286	0.714286	1	1	0.714286	1	1	1	1	0.714286	0.714286	1	1	1	1	1	1	1	0.714286	0.285714	1	1	1	1	1	1	0.714286	1	1	1	0.714286	1	0.714286	1	0.714286	1	1	0.285714	0.714286	0.714286	1	0.714286	0.285714	1	0.714286	1	1	1	0.714286	1	0.714286	1	1	1	0.714286	1	1	1	1	0.714286	1	0.714286	0.714286	0.714286	1	0.714286	0.714286	0.714286	1	1	1	1	1	1	0.714286
erho	1	1	0	0.857143	0.428571	1	1	1	0.428571	0.857143	1	0.714286	0.714286	0.714286	0.428571	1	1	0.714286	0.857143	0.428571	0.428571	0.714286	0.714286	0.857143	1	1	0.714286	0.428571	0.142857	0.428571	0.857143	0.714286	1	0.428571	0.428571	0.857143	1	0.428571	1	0.142857	1	0.428571	0.857143	1	1	1	0.714286	1	1	0.857143	1	0	0.857143	0.714286	1	0.857143	1	0.857143	0.428571	0.857143	1	0.857143	0.714286	0.428571	0.857143	1	0.714286	1	1	1	0.857143	1	1	1	0.714286	0.714286	0.428571	0.857143	0.714286	0.857143	1
dein	1	1	0.857143	0	0.857143	1	1	1	0.857143	0.142857	1	0.857143	0.857143	0.857143	0.857143	1	1	0.857143	0.857143	0.857143	0.857143	0.857143	0.857143	0.714286	1	1	0.857143	0.857143	0.857143	0.857143	0.142857	0.857143	1	0.857143	0.857143	0.142857	1	0.857143	1	0.857143	1	0.857143	0.714286	1	1	1	0.857143	1	1	0.857143	1	0.857143	0.142857	0.857143	1	0.714286	1	0.857143	0.857143	0.142857	1	0.142857	0.857143	0.857143	0.857143	1	0.857143	1	1	1	0.142857	1	1	1	0.857143	0.857143	0.857143	0.571429	0.857143	0.714286	1
venu	1	1	0.428571	0.857143	0	1	1	1	0.142857	0.857143	1	0.714286	0.714286	0.714286	0.142857	1	1	0.714286	0.857143	0.142857	0.142857	0.714286	0.714286	0.857143	1	1	0.714286	0.142857	0.428571	0.142857	0.857143	0.714286	1	0.142857	0.142857	0.857143	1	0.142857	1	0.428571	1	0.142857	0.857143	1	1	1	0.714286	1	1	0.857143	1	0.428571	0.857143	0.714286	1	0.857143	1	0.857143	0.142857	0.857143	1	0.857143	0.714286	0.142857	0.857143	1	0.714286	1	1	1	0.857143	1	1	1	0.714286	0.714286	0.142857	0.857143	0.714286	0.857143	1
pimo	0.142857	0.714286	1	1	1	0	0.285714	0.142857	1	1	0.142857	1	1	1	1	0.285714	0.285714	1	1	1	1	1	1	1	0.142857	0.714286	1	1	1	1	1	1	0.142857	1	1	1	0.142857	1	0.142857	1	0.142857	1	1	0.714286	0.142857	0.142857	1	0.142857	0.714286	1	0.142857	1	1	1	0.142857	1	0.142857	1	1	1	0.285714	1	1	1	1	0.142857	1	0.142857	0.142857	0.142857	1	0.142857	0.142857	0.142857	1	1	1	1	1	1	0.142857
cyse	0.285714	0.714286	1	1	1	0.285714	0	0.285714	1	1	0.285714	1	1	1	1	0.285714	0	1	1	1	1	1	1	1	0.285714	0.714286	1	1	1	1	1	1	0.285714	1	1	1	0.285714	1	0.285714	1	0.285714	1	1	0.714286	0.285714	0.285714	1	0.285714	0.714286	1	0.285714	1	1	1	0.285714	1	0.285714	1	1	1	0	1	1	1	1	0.285714	1	0.285714	0.285714	0.285714	1	0.285714	0.285714	0.285714	1	1	1	1	1	1	0.285714
cose	0.142857	0.714286	1	1	1	0.142857	0.285714	0	1	1	0.142857	1	1	1	1	0.285714	0.285714	1	1	1	1	1	1	1	0.142857	0.714286	1	1	1	1	1	1	0.142857	1	1	1	0.142857	1	0.142857	1	0.142857	1	1	0.714286	0.142857	0.142857	1	0.142857	0.714286	1	0.142857	1	1	1	0.142857	1	0.142857	1	1	1	0.285714	1	1	1	1	0.142857	1	0.142857	0.142857	0.142857	1	0.142857	0.142857	0.142857	1	1	1	1	1	1	0.142857
oran	1	1	0.428571	0.857143	0.142857	1	1	1	0	0.857143	1	0.714286	0.714286	0.714286	0.142857	1	1	0.714286	0.857143	0.142857	0.142857	0.714286	0.714286	0.857143	1	1	0.714286	0.142857	0.428571	0.142857	0.857143	0.714286	1	0.142857	0.142857	0.857143	1	0.142857	1	0.428571	1	0.142857	0.857143	1	1	1	0.714286	1	1	0.857143	1	0.428571	0.857143	0.714286	1	0.857143	1	0.857143	0.142857	0.857143	1	0.857143	0.714286	0.142857	0.857143	1	0.714286	1	1	1	0.857143	1	1	1	0.714286	0.714286	0.142857	0.857143	0.714286	0.857143	1
luli	1	1	0.857143	0.142857	0.857143	1	1	1	0.857143	0	1	0.857143	0.857143	0.857143	0.857143	1	1	0.857143	0.857143	0.857143	0.857143	0.857143	0.857143	0.714286	1	1	0.857143	0.857143	0.857143	0.857143	0.142857	0.857143	1	0.857143	0.857143	0.142857	1	0.857143	1	0.857143	1	0.857143	0.714286	1	1	1	0.857143	1	1	0.857143	1	0.857143	0.142857	0.857143	1	0.714286	1	0.857143	0.857143	0.142857	1	0.142857	0.857143	0.857143	0.857143	1	0.857143	1	1	1	0.142857	1	1	1	0.857143	0.857143	0.857143	0.571429	0.857143	0.714286	1
sege	0.142857	0.714286	1	1	1	0.142857	0.285714	0.142857	1	1	0	1	1	1	1	0.285714	0.285714	1	1	1	1	1	1	1	0.142857	0.714286	1	1	1	1	1	1	0.142857	1	1	1	0	1	0.142857	1	0.142857	1	1	0.714286	0.142857	0.142857	1	0.142857	0.714286	1	0.142857	1	1	1	0.142857	1	0.142857	1	1	1	0.285714	1	1	1	1	0.142857	1	0.142857	0.142857	0.142857	1	0.142857	0.142857	0.142857	1	1	1	1	1	1	0.142857
rihu	1	1	0.714286	0.857143	0.714286	1	1	1	0.714286	0.857143	1	0	0.428571	0.142857	0.714286	1	1	0.428571	0.857143	0.714286	0.714286	0.142857	0.428571	0.857143	1	1	0.428571	0.714286	0.714286	0.714286	0.857143	0.714286	1	0.714286	0.714286	0.857143	1	0.714286	1	0.714286	1	0.714286	0.857143	1	1	1	0.142857	1	1	0.857143	1	0.714286	0.857143	0.428571	1	0.857143	1	0.857143	0.714286	0.857143	1	0.857143	0.142857	0.714286	0.857143	1	0.428571	1	1	1	0.857143	1	1	1	0.428571	0.428571	0.714286	0.857143	0.142857	0.857143	1
