	pi	tx	ts	he	ll	la	sh	rn
pano	267.804	437.5	598.812	369.971	617.536	503.659	245.5	1
hyde	556.5	113.5	362	269.536	581	501.679	245.5	0
erho	556.5	738	808	592.083	720	711.833	245.5	0
dein	85.5	442.426	564.533	335.59	190.82	461.992	752.082	0
venu	556.5	633.478	555.478	796.826	413.87	183.413	245.5	0
pimo	556.5	113.5	214.167	421.25	546.306	158.042	254.181	1
cyse	556.5	437.5	523	493.5	678	541.5	245.5	1
cose	326.55	436.913	441.538	437.675	644.875	494.45	245.5	1
oran	556.5	531.406	585.031	181.062	528.688	755.531	643.125	1
luli	556.5	113.5	196	704.5	249	299	245.5	0
sege	556.5	437.5	196	493.5	365.5	299	245.5	1
rihu	85.5	437.5	326.8	202.05	113.8	347.5	694.2	1
dise	85.5	113.5	236.595	215.952	96.0952	381.643	781.5	1
reri	556.5	113.5	196	493.5	80	94.5	558	0
sopt	462.3	113.5	196	387.5	11.5	94.5	495.5	0
jusp	556.5	738	196	391.28	349.488	94.5	245.5	0
cybr	556.5	437.5	341.759	357.889	492.111	251.611	245.5	0
rusp	556.5	218.889	196	281.444	155.111	406.778	700.333	0
pftu	556.5	738	274.538	558.025	308.85	535.362	628.125	0
fare	556.5	182.889	196	510.944	94.7222	139.944	433.278	0
hysp	556.5	437.5	400.734	311.188	449.406	631.609	515.344	0
bola	556.5	437.5	196	704.5	80	94.5	685.5	0
scra	526.636	113.5	225.727	502.864	82.9091	153.727	612.273	0
sirh	556.5	437.5	268.667	624.167	155.111	280.5	643	0
brsu	556.5	435.542	348.792	462.417	474.625	340.667	271.542	0
sysp	556.5	113.5	296.433	514.433	304.867	233.367	328.833	0
plto	556.5	113.5	387.346	119.885	410.308	565.731	515.308	1
soch	556.5	437.5	196	493.5	249	299	401.75	1
ceas	85.5	113.5	196	52	11.5	94.5	819	1
elmo	556.5	432.604	543.625	292.333	457.771	742.812	664.5	1
crtw	85.5	437.5	268.667	481.5	256.111	507.778	690.667	1
anar	556.5	113.5	196	361	80	94.5	729	1
axaf	85.5	437.5	503.231	191.192	476.308	443.538	245.5	1
cosp	556.5	275.5	196	533.65	167.7	176.3	339.25	1
asmo	85.5	434.143	289.429	447.929	234	330.357	576.214	1
mapr	85.5	738	523	328.333	326.667	602	714.5	1
seva	556.5	437.5	196	378.25	365.5	196.75	245.5	0
ptsp	556.5	113.5	196	271.818	254.818	246.682	455.955	0
lomu	556.5	437.5	196	748.25	636	511	245.5	0
aple	556.5	113.5	196	598.688	71.4375	94.5	245.5	0
papl	392.25	437.5	576.125	563.625	720	547.45	245.5	1
gmsp	556.5	113.5	196	692.5	192.667	162.667	349.667	1
cugl	556.5	113.5	196	792	249	299	245.5	1
hepu	556.5	165.542	427.042	557.708	236.792	199.917	349.667	0
cyda	85.5	437.5	305	385.958	437	249.125	245.5	0
paur	285.13	738	745.609	563.652	760.783	759.587	245.5	0
bove	556.5	437.5	196	528.667	147	203.083	527.167	1
papn	419.625	437.5	622.25	522.458	642.167	673.125	289.417	1
cysp	556.5	113.5	457.6	779.7	308.4	258.1	370.5	1
ruob	556.5	113.5	359.5	818	365.5	420.25	558	0
pahi	85.5	113.5	196	493.5	482	299	245.5	0
ersa	556.5	738	802.912	157.882	606.118	626.471	319.029	0
dede	556.5	113.5	261.4	620.1	66.3	94.5	583.5	0
vesp	556.5	437.5	196	480	307.25	420.25	621.75	0
chse	462.643	437.5	527	389.786	566	567.429	245.5	0
tigr	556.5	437.5	523	704.5	482	723	558	0
arla	556.5	738	622.25	748.25	706	480.875	245.5	0
drco	85.5	113.5	196	493.5	80	299	685.5	0
gasp	556.5	113.5	196	361	80	196.75	788.75	0
stmo	556.5	437.5	523	748.25	249	94.5	245.5	0
cyca	556.5	738	359.5	361	580	408.75	245.5	0
trdu	85.5	113.5	196	228.5	11.5	94.5	685.5	0
gafa	556.5	738	196	554.625	307.25	586.875	558	0
batr	556.5	738	808	493.5	678	541.5	245.5	0
spar	556.5	113.5	196	493.5	249	94.5	245.5	0
pasa	85.5	113.5	196	493.5	482	541.5	245.5	0
evse	556.5	113.5	196	361	45.75	94.5	653.625	0
elth	447	437.5	655.333	475.5	507	440.333	245.5	1
scmi	556.5	738	764.75	599	678	541.5	245.5	1
anla	556.5	738	764.75	599	734	541.5	245.5	1
clna	85.5	437.5	523	493.5	249	541.5	685.5	1
pape	228	437.5	523	228.5	678	541.5	245.5	0
padi	228	437.5	359.5	493.5	734	760	245.5	0
papa	228	437.5	589.167	634.167	715.333	687.167	245.5	0
vemo	556.5	437.5	458.75	761.25	365.5	196.75	401.75	1
lisp	556.5	113.5	196	493.5	80	94.5	401.75	1
badr	556.5	113.5	196	228.5	249	420.25	621.75	1
oxer	556.5	113.5	196	361	45.75	196.75	788.75	0
boer	556.5	437.5	196	704.5	249	299	558	0
wado	228	437.5	523	704.5	249	723	685.5	1
spin	556.5	738	622.25	493.5	790	541.5	245.5	1
