	pano	hyde	erho	dein	venu	pimo	cyse	cose	oran	luli	sege	rihu	dise	reri	sopt	jusp	cybr	rusp	pftu	fare	hysp	bola	scra	sirh	brsu	sysp	plto	soch	ceas	elmo	crtw	anar	axaf	cosp	asmo	mapr	seva	ptsp	lomu	aple	papl	gmsp	cugl	hepu	cyda	paur	bove	papn	cysp	ruob	pahi	ersa	dede	vesp	chse	tigr	arla	drco	gasp	stmo	cyca	trdu	gafa	batr	spar	pasa	evse	elth	scmi	anla	clna	pape	padi	papa	vemo	lisp	badr	oxer	boer	wado	spin
1	0.146199	0.0467836	0.134503	0.0935673	0.0175439	0.0643275	0.00584795	0.0409357	0.0467836	0.0175439	0.00584795	0.0292398	0.0409357	0.00584795	0.00584795	0.0350877	0.0175439	0.0116959	0.0350877	0.0116959	0.0116959	0.00584795	0.0116959	0.0175439	0.0175439	0.0116959	0.0116959	0.00584795	0.0116959	0.0175439	0.0175439	0.00584795	0.0116959	0.00584795	0.00584795	0.0175439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.216783	0.013986	0.034965	0.034965	0.020979	0.0559441	0	0.041958	0.020979	0	0	0	0	0	0.020979	0.020979	0.027972	0.020979	0.048951	0.00699301	0.0559441	0	0	0	0.027972	0.013986	0.013986	0	0	0.034965	0.013986	0	0.048951	0.00699301	0	0	0.00699301	0.020979	0.013986	0.00699301	0.048951	0.00699301	0.020979	0.013986	0.020979	0.020979	0.013986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.182482	0.0218978	0	0.0364964	0.0510949	0.0291971	0	0.0218978	0.0364964	0	0	0	0	0	0	0.0437956	0.0291971	0.00729927	0.0437956	0	0.0291971	0	0	0.00729927	0.00729927	0	0	0	0	0.0364964	0.0145985	0	0.0145985	0.00729927	0	0.0218978	0	0	0	0	0.0364964	0.0218978	0	0	0.0218978	0.0875912	0	0.0875912	0.00729927	0.0510949	0.0218978	0.0145985	0.00729927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.148352	0.0274725	0	0.0604396	0.021978	0.043956	0	0.010989	0.032967	0	0	0.0164835	0.0384615	0	0	0.0659341	0.0164835	0.010989	0.0384615	0	0.010989	0	0	0.032967	0.0164835	0	0	0.010989	0	0.0384615	0	0	0.010989	0.00549451	0	0	0	0.00549451	0	0	0	0	0	0.00549451	0.043956	0.104396	0.0164835	0.0274725	0.00549451	0	0	0.032967	0	0.0274725	0.00549451	0.010989	0.0274725	0.00549451	0.010989	0.010989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.214815	0.0148148	0	0.140741	0.0222222	0.0666667	0	0.0666667	0.0222222	0	0	0.0148148	0.00740741	0	0	0.0518519	0	0	0.0444444	0	0.00740741	0	0.00740741	0.0148148	0.00740741	0.0148148	0.0148148	0	0	0	0.00740741	0	0.0222222	0.0222222	0.0296296	0.0222222	0	0	0	0	0.0148148	0	0	0	0.0148148	0.037037	0	0	0	0	0	0.0222222	0	0.0222222	0.00740741	0	0	0	0	0	0.00740741	0.00740741	0.0148148	0.00740741	0.00740741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.174194	0.0193548	0	0.141935	0.0709677	0.109677	0	0.083871	0	0	0	0.0129032	0.00645161	0	0	0.0387097	0.0258065	0	0.0258065	0.00645161	0.0258065	0	0	0	0	0.00645161	0	0	0	0.0129032	0	0.00645161	0.0322581	0	0	0	0	0.0193548	0	0	0.0322581	0	0	0	0.00645161	0.0322581	0.0129032	0	0	0	0	0.0258065	0	0.0129032	0	0	0.0129032	0	0.00645161	0	0	0	0.0193548	0	0	0.0129032	0.00645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.213333	0.04	0	0.0866667	0.06	0.0333333	0	0.0933333	0	0	0	0.00666667	0.0133333	0	0	0.0733333	0	0	0.02	0.0133333	0	0	0	0	0.0133333	0.00666667	0.0266667	0	0	0.02	0.00666667	0	0.0866667	0	0	0	0	0.00666667	0	0	0	0.00666667	0	0.0133333	0	0.0333333	0	0	0	0	0	0.02	0.04	0	0	0	0.00666667	0	0	0.00666667	0	0	0	0	0	0	0	0.00666667	0.0133333	0.02	0.0133333	0	0	0	0	0	0	0	0	0	0
8	0.165563	0.0264901	0.0463576	0.0397351	0.013245	0.013245	0	0.0264901	0.0728477	0	0	0.013245	0.00662252	0	0.0331126	0.0397351	0.013245	0	0.0264901	0.00662252	0.0397351	0	0.013245	0	0	0	0.00662252	0	0	0.0198676	0	0	0.0463576	0.00662252	0.00662252	0	0	0	0	0	0.0794702	0	0	0.00662252	0.013245	0.0198676	0.013245	0	0.00662252	0	0	0.013245	0	0	0.0331126	0	0	0.00662252	0	0	0	0	0	0	0	0	0.00662252	0	0	0.00662252	0	0.0331126	0.0463576	0.0331126	0	0	0	0	0	0	0
9	0.21831	0.0140845	0.0140845	0.176056	0.0352113	0.0140845	0	0.0422535	0.00704225	0	0	0.0140845	0.0422535	0	0	0.00704225	0	0	0.0352113	0.00704225	0.0140845	0	0	0.00704225	0	0.00704225	0.0140845	0	0	0.028169	0.00704225	0	0.0422535	0	0	0	0.00704225	0.00704225	0	0.00704225	0.0492958	0	0	0.00704225	0	0.0633803	0	0	0	0	0	0.028169	0	0	0.0140845	0	0.0352113	0	0	0	0.00704225	0	0	0	0	0	0.00704225	0	0	0	0	0	0	0	0.00704225	0.00704225	0.00704225	0	0	0	0
10	0.166667	0.0185185	0	0.104938	0.0308642	0.0617284	0	0.123457	0.0246914	0	0	0	0.0308642	0	0.00617284	0.0185185	0.0185185	0.00617284	0.0308642	0.00617284	0.0123457	0	0.00617284	0.0123457	0.00617284	0.0246914	0	0	0	0.0246914	0.00617284	0	0.0123457	0.0123457	0	0	0	0.00617284	0	0.0123457	0.0617284	0	0	0.0123457	0.0123457	0.0308642	0	0.0432099	0	0	0	0.0185185	0.00617284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185185	0	0.00617284	0	0.00617284	0	0	0
